date,기온,습도,일사,전운량
2021-01-01 01:00:00,-8.7,68,,0
2021-01-01 02:00:00,-9.1,69,,0
2021-01-01 03:00:00,-9.3,70,,0
2021-01-01 04:00:00,-9.3,71,,0
2021-01-01 05:00:00,-9.7,72,,0
2021-01-01 06:00:00,-9.7,75,,7
2021-01-01 07:00:00,-9.3,71,,6
2021-01-01 08:00:00,-9.3,72,0.0,1
2021-01-01 09:00:00,-8.6,74,0.27,1
2021-01-01 10:00:00,-6.1,68,0.76,1
2021-01-01 11:00:00,-3.2,55,1.4,0
2021-01-01 12:00:00,-1.1,52,1.74,8
2021-01-01 13:00:00,-0.2,56,1.61,5
2021-01-01 14:00:00,1.4,53,1.61,1
2021-01-01 15:00:00,1.2,52,1.43,4
2021-01-01 16:00:00,-0.2,58,0.42,3
2021-01-01 17:00:00,-0.7,61,0.28,3
2021-01-01 18:00:00,-1.4,68,0.02,3
2021-01-01 19:00:00,-1.5,70,,1
2021-01-01 20:00:00,-1.6,73,,8
2021-01-01 21:00:00,-1.6,66,,8
2021-01-01 22:00:00,-1.8,63,,8
2021-01-01 23:00:00,-2.6,55,,0
2021-01-02 00:00:00,-3.4,55,,0
2021-01-02 01:00:00,-4.1,39,,0
2021-01-02 02:00:00,-5.0,42,,0
2021-01-02 03:00:00,-5.8,45,,0
2021-01-02 04:00:00,-6.3,45,,0
2021-01-02 05:00:00,-6.6,40,,0
2021-01-02 06:00:00,-6.6,35,,0
2021-01-02 07:00:00,-7.4,38,,0
2021-01-02 08:00:00,-8.3,41,0.0,0
2021-01-02 09:00:00,-7.6,39,0.3,0
2021-01-02 10:00:00,-6.0,35,0.88,0
2021-01-02 11:00:00,-5.3,32,1.46,0
2021-01-02 12:00:00,-3.2,33,1.81,0
2021-01-02 13:00:00,-2.3,31,1.95,0
2021-01-02 14:00:00,-1.5,31,1.87,0
2021-01-02 15:00:00,-2.3,33,1.57,0
2021-01-02 16:00:00,-1.7,34,1.05,0
2021-01-02 17:00:00,-2.3,35,0.41,0
2021-01-02 18:00:00,-3.2,39,0.04,0
2021-01-02 19:00:00,-3.8,50,,0
2021-01-02 20:00:00,-4.2,41,,0
2021-01-02 21:00:00,-5.0,39,,0
2021-01-02 22:00:00,-5.5,42,,0
2021-01-02 23:00:00,-6.1,45,,0
2021-01-03 00:00:00,-6.6,45,,0
2021-01-03 01:00:00,-7.3,48,,0
2021-01-03 02:00:00,-7.7,50,,0
2021-01-03 03:00:00,-8.0,51,,0
2021-01-03 04:00:00,-8.3,52,,0
2021-01-03 05:00:00,-8.8,53,,0
2021-01-03 06:00:00,-9.0,53,,0
2021-01-03 07:00:00,-8.7,54,,0
2021-01-03 08:00:00,-8.7,58,0.0,0
2021-01-03 09:00:00,-7.6,57,0.28,0
2021-01-03 10:00:00,-5.7,46,0.86,0
2021-01-03 11:00:00,-4.2,39,1.45,0
2021-01-03 12:00:00,-3.1,33,1.78,7
2021-01-03 13:00:00,-2.4,30,1.62,7
2021-01-03 14:00:00,-2.3,30,1.21,8
2021-01-03 15:00:00,-2.4,33,0.76,8
2021-01-03 16:00:00,-2.3,35,0.48,9
