기준일자,기준시,본부명,전력사용량,고객호수
2024-12-31,01,경기북부본부,2828,872711
2024-12-31,02,경기북부본부,2690,871225
2024-12-31,03,경기북부본부,2618,870807
2024-12-31,04,경기북부본부,2588,870855
2024-12-31,05,경기북부본부,2612,871082
2024-12-31,06,경기북부본부,2714,871320
2024-12-31,07,경기북부본부,2937,871231
2024-12-31,08,경기북부본부,3314,870984
2024-12-31,09,경기북부본부,3816,870960
2024-12-31,10,경기북부본부,4052,870981
2024-12-31,11,경기북부본부,4070,870411
2024-12-31,12,경기북부본부,3977,870718
2024-12-31,13,경기북부본부,3735,872073
2024-12-31,14,경기북부본부,3754,872407
2024-12-31,15,경기북부본부,3734,872812
2024-12-31,16,경기북부본부,3644,873134
2024-12-31,17,경기북부본부,3600,873213
2024-12-31,18,경기북부본부,3571,872972
2024-12-31,19,경기북부본부,3480,872687
2024-12-31,20,경기북부본부,3390,871842
2024-12-31,21,경기북부본부,3304,872318
2024-12-31,22,경기북부본부,3214,872873
2024-12-31,23,경기북부본부,3144,872904
2024-12-31,24,경기북부본부,3105,873164
2024-12-31,01,남서울본부,2415,1462079
2024-12-31,02,남서울본부,2243,1460611
2024-12-31,03,남서울본부,2151,1459380
2024-12-31,04,남서울본부,2112,1459307
2024-12-31,05,남서울본부,2139,1459870
2024-12-31,06,남서울본부,2304,1459945
2024-12-31,07,남서울본부,2668,1459544
2024-12-31,08,남서울본부,3178,1458774
2024-12-31,09,남서울본부,3776,1458850
2024-12-31,10,남서울본부,4199,1459317
2024-12-31,11,남서울본부,4351,1459692
2024-12-31,12,남서울본부,4301,1459994
2024-12-31,13,남서울본부,4192,1460724
2024-12-31,14,남서울본부,4111,1461235
2024-12-31,15,남서울본부,4021,1462122
2024-12-31,16,남서울본부,3914,1462866
2024-12-31,17,남서울본부,3866,1463504
2024-12-31,18,남서울본부,3892,1463033
2024-12-31,19,남서울본부,3771,1463102
2024-12-31,20,남서울본부,3590,1462867
2024-12-31,21,남서울본부,3380,1463117
2024-12-31,22,남서울본부,3157,1463937
2024-12-31,23,남서울본부,2891,1463964
2024-12-31,24,남서울본부,2677,1463541
2024-12-31,01,경기본부,9875,1921209
2024-12-31,02,경기본부,9567,1917882
2024-12-31,03,경기본부,9370,1916430
2024-12-31,04,경기본부,9298,1916117
2024-12-31,05,경기본부,9349,1915824
2024-12-31,06,경기본부,9600,1915560
2024-12-31,07,경기본부,10206,1914864
2024-12-31,08,경기본부,11271,1914039
2024-12-31,09,경기본부,12702,1913954
2024-12-31,10,경기본부,13347,1914031
2024-12-31,11,경기본부,13422,1915095
2024-12-31,12,경기본부,13151,1916087
2024-12-31,13,경기본부,12523,1916632
2024-12-31,14,경기본부,12624,1916502
2024-12-31,15,경기본부,12512,1917501
2024-12-31,16,경기본부,12201,1919140
2024-12-31,17,경기본부,11977,1919968
2024-12-31,18,경기본부,11742,1919446
2024-12-31,19,경기본부,11537,1919645
2024-12-31,20,경기본부,11258,1918554
2024-12-31,21,경기본부,10920,1919260
2024-12-31,22,경기본부,10619,1921169
2024-12-31,23,경기본부,10389,1921554
2024-12-31,24,경기본부,10208,1921486
2024-12-31,01,서울본부,1917,1371377
2024-12-31,02,서울본부,1761,1371019
2024-12-31,03,서울본부,1687,1370317
2024-12-31,04,서울본부,1653,1370257
2024-12-31,05,서울본부,1680,1371172
2024-12-31,06,서울본부,1811,1371678
2024-12-31,07,서울본부,2083,1371370
2024-12-31,08,서울본부,2470,1371075
2024-12-31,09,서울본부,2925,1369990
2024-12-31,10,서울본부,3261,1369849
2024-12-31,11,서울본부,3374,1370806
2024-12-31,12,서울본부,3345,1371023
2024-12-31,13,서울본부,3262,1371311
2024-12-31,14,서울본부,3208,1372402
2024-12-31,15,서울본부,3146,1373013
2024-12-31,16,서울본부,3072,1373304
2024-12-31,17,서울본부,3038,1373261
2024-12-31,18,서울본부,3056,1373452
2024-12-31,19,서울본부,2949,1373523
2024-12-31,20,서울본부,2807,1373925
2024-12-31,21,서울본부,2664,1373159
2024-12-31,22,서울본부,2510,1373168
2024-12-31,23,서울본부,2315,1372997
2024-12-31,24,서울본부,2137,1372815
2024-12-31,01,인천본부,3680,1290118
2024-12-31,02,인천본부,3552,1288786
2024-12-31,03,인천본부,3447,1288443
2024-12-31,04,인천본부,3362,1288644
2024-12-31,05,인천본부,3396,1288847
2024-12-31,06,인천본부,3495,1288896
2024-12-31,07,인천본부,3788,1288665
2024-12-31,08,인천본부,4334,1288736
2024-12-31,09,인천본부,5141,1288724
2024-12-31,10,인천본부,5569,1288715
2024-12-31,11,인천본부,5643,1289157
2024-12-31,12,인천본부,5516,1289712
2024-12-31,13,인천본부,5147,1290107
2024-12-31,14,인천본부,5254,1290368
2024-12-31,15,인천본부,5183,1291041
2024-12-31,16,인천본부,5023,1291536
2024-12-31,17,인천본부,4843,1291766
2024-12-31,18,인천본부,4697,1291422
2024-12-31,19,인천본부,4548,1291368
2024-12-31,20,인천본부,4422,1291212
2024-12-31,21,인천본부,4277,1291493
2024-12-31,22,인천본부,4146,1291747
2024-12-31,23,인천본부,3971,1291727
2024-12-31,24,인천본부,3834,1291783
2024-12-31,01,강원본부,2169,802144
2024-12-31,02,강원본부,2030,801681
2024-12-31,03,강원본부,1941,801202
2024-12-31,04,강원본부,1928,801142
2024-12-31,05,강원본부,1964,801126
2024-12-31,06,강원본부,2045,800987
2024-12-31,07,강원본부,2074,800885
2024-12-31,08,강원본부,2156,800307
2024-12-31,09,강원본부,2129,800254
2024-12-31,10,강원본부,2088,800491
2024-12-31,11,강원본부,2071,800741
2024-12-31,12,강원본부,2019,801204
2024-12-31,13,강원본부,2004,801349
2024-12-31,14,강원본부,2047,801626
2024-12-31,15,강원본부,1995,801947
2024-12-31,16,강원본부,1943,802161
2024-12-31,17,강원본부,1936,802264
2024-12-31,18,강원본부,1990,802283
2024-12-31,19,강원본부,1975,802237
2024-12-31,20,강원본부,1963,802157
2024-12-31,21,강원본부,1953,802137
2024-12-31,22,강원본부,1996,802251
2024-12-31,23,강원본부,2263,802541
2024-12-31,24,강원본부,2420,802271
2024-12-31,01,충북본부,2748,761543
2024-12-31,02,충북본부,2664,761244
2024-12-31,03,충북본부,2622,760889
2024-12-31,04,충북본부,2615,760821
2024-12-31,05,충북본부,2654,760955
2024-12-31,06,충북본부,2714,761056
2024-12-31,07,충북본부,2816,760827
2024-12-31,08,충북본부,2970,760845
2024-12-31,09,충북본부,3168,760838
2024-12-31,10,충북본부,3199,760691
2024-12-31,11,충북본부,3155,761165
2024-12-31,12,충북본부,3081,761537
2024-12-31,13,충북본부,2916,761877
2024-12-31,14,충북본부,2938,762111
2024-12-31,15,충북본부,2933,762262
2024-12-31,16,충북본부,2861,762351
2024-12-31,17,충북본부,2813,762404
2024-12-31,18,충북본부,2769,762211
2024-12-31,19,충북본부,2728,762109
2024-12-31,20,충북본부,2691,762008
2024-12-31,21,충북본부,2664,761927
2024-12-31,22,충북본부,2638,761866
2024-12-31,23,충북본부,2739,761864
2024-12-31,24,충북본부,2841,761815
2024-12-31,01,대전세종충남본부,6695,1425182
2024-12-31,02,대전세종충남본부,6560,1414829
2024-12-31,03,대전세종충남본부,6442,1412619
2024-12-31,04,대전세종충남본부,6417,1412228
2024-12-31,05,대전세종충남본부,6467,1411548
2024-12-31,06,대전세종충남본부,6495,1411106
2024-12-31,07,대전세종충남본부,6727,1409964
2024-12-31,08,대전세종충남본부,7210,1408768
2024-12-31,09,대전세종충남본부,7812,1410443
2024-12-31,10,대전세종충남본부,7830,1412209
2024-12-31,11,대전세종충남본부,7775,1414459
2024-12-31,12,대전세종충남본부,7716,1416875
2024-12-31,13,대전세종충남본부,7354,1418398
2024-12-31,14,대전세종충남본부,7513,1419516
2024-12-31,15,대전세종충남본부,7287,1420744
2024-12-31,16,대전세종충남본부,7201,1420698
2024-12-31,17,대전세종충남본부,7218,1420941
2024-12-31,18,대전세종충남본부,7220,1422316
2024-12-31,19,대전세종충남본부,7098,1421867
2024-12-31,20,대전세종충남본부,7093,1422140
2024-12-31,21,대전세종충남본부,6921,1423004
2024-12-31,22,대전세종충남본부,6800,1424757
2024-12-31,23,대전세종충남본부,6759,1426972
2024-12-31,24,대전세종충남본부,6717,1428126
2024-12-31,01,전북본부,2236,776749
2024-12-31,02,전북본부,2154,777091
2024-12-31,03,전북본부,2102,776856
2024-12-31,04,전북본부,2086,776765
2024-12-31,05,전북본부,2078,776918
2024-12-31,06,전북본부,2151,776868
2024-12-31,07,전북본부,2228,776328
2024-12-31,08,전북본부,2420,776025
2024-12-31,09,전북본부,2594,776060
2024-12-31,10,전북본부,2648,775826
2024-12-31,11,전북본부,2576,776256
2024-12-31,12,전북본부,2487,776917
2024-12-31,13,전북본부,2379,776415
2024-12-31,14,전북본부,2425,776925
2024-12-31,15,전북본부,2390,777995
2024-12-31,16,전북본부,2356,778442
2024-12-31,17,전북본부,2335,778688
2024-12-31,18,전북본부,2354,778561
2024-12-31,19,전북본부,2333,778399
2024-12-31,20,전북본부,2304,778107
2024-12-31,21,전북본부,2283,778082
2024-12-31,22,전북본부,2276,777944
2024-12-31,23,전북본부,2378,777860
2024-12-31,24,전북본부,2389,777843
2024-12-31,01,광주전남본부,5368,1219659
2024-12-31,02,광주전남본부,5248,1219375
2024-12-31,03,광주전남본부,5205,1219448
2024-12-31,04,광주전남본부,5171,1219487
2024-12-31,05,광주전남본부,5178,1219372
2024-12-31,06,광주전남본부,5259,1219327
2024-12-31,07,광주전남본부,5406,1219510
2024-12-31,08,광주전남본부,5736,1219441
2024-12-31,09,광주전남본부,6119,1219508
2024-12-31,10,광주전남본부,6062,1219484
2024-12-31,11,광주전남본부,6042,1219507
2024-12-31,12,광주전남본부,5989,1219696
2024-12-31,13,광주전남본부,5880,1220066
2024-12-31,14,광주전남본부,5976,1220464
2024-12-31,15,광주전남본부,5931,1220773
2024-12-31,16,광주전남본부,5867,1220711
2024-12-31,17,광주전남본부,5778,1221053
2024-12-31,18,광주전남본부,5787,1220813
2024-12-31,19,광주전남본부,5779,1220961
2024-12-31,20,광주전남본부,5746,1220756
2024-12-31,21,광주전남본부,5662,1220940
2024-12-31,22,광주전남본부,5576,1220706
2024-12-31,23,광주전남본부,5599,1220143
2024-12-31,24,광주전남본부,5536,1220054
2024-12-31,01,대구본부,3754,1464760
2024-12-31,02,대구본부,3591,1464809
2024-12-31,03,대구본부,3507,1464957
2024-12-31,04,대구본부,3455,1464694
2024-12-31,05,대구본부,3407,1464718
2024-12-31,06,대구본부,3471,1464427
2024-12-31,07,대구본부,3700,1463776
2024-12-31,08,대구본부,4102,1463166
2024-12-31,09,대구본부,4785,1460228
2024-12-31,10,대구본부,5010,1460029
2024-12-31,11,대구본부,5014,1462699
2024-12-31,12,대구본부,4874,1462962
2024-12-31,13,대구본부,4540,1463056
2024-12-31,14,대구본부,4682,1463095
2024-12-31,15,대구본부,4627,1463399
2024-12-31,16,대구본부,4470,1463521
2024-12-31,17,대구본부,4334,1463544
2024-12-31,18,대구본부,4219,1463303
2024-12-31,19,대구본부,4112,1463120
2024-12-31,20,대구본부,4059,1462842
2024-12-31,21,대구본부,3986,1463465
2024-12-31,22,대구본부,3875,1463917
2024-12-31,23,대구본부,3837,1463840
2024-12-31,24,대구본부,3787,1464189
2024-12-31,01,경북본부,1726,640596
2024-12-31,02,경북본부,1663,640491
2024-12-31,03,경북본부,1632,640613
2024-12-31,04,경북본부,1607,640614
2024-12-31,05,경북본부,1618,640498
2024-12-31,06,경북본부,1651,640488
2024-12-31,07,경북본부,1696,640476
2024-12-31,08,경북본부,1777,640285
2024-12-31,09,경북본부,1909,640156
2024-12-31,10,경북본부,1927,640207
2024-12-31,11,경북본부,1899,640339
2024-12-31,12,경북본부,1866,640397
2024-12-31,13,경북본부,1794,640436
2024-12-31,14,경북본부,1827,640490
2024-12-31,15,경북본부,1811,640782
2024-12-31,16,경북본부,1787,641011
2024-12-31,17,경북본부,1772,641165
2024-12-31,18,경북본부,1768,641238
2024-12-31,19,경북본부,1741,641291
2024-12-31,20,경북본부,1715,641197
2024-12-31,21,경북본부,1687,641308
2024-12-31,22,경북본부,1660,641372
2024-12-31,23,경북본부,1662,641324
2024-12-31,24,경북본부,1787,641265
2024-12-31,01,부산울산본부,5999,1451547
2024-12-31,02,부산울산본부,5870,1451754
2024-12-31,03,부산울산본부,5754,1451572
