특징,모델,학습기간,RMSE,MAPE
기준선,전날 그대로,-,271.75,5.28
기준선,지난주 같은 요일,-,191.51,4.67
기준선,지난 7일 같은 시각 평균,-,244.23,5.94
기준선,선형회귀 (1단계),전체(2022~),151.34,3.85
기준선,선형회귀 (2단계),전체(2022~),139.71,3.71
1단계: 전력 파일만,회귀트리,전체(2022~),265.69,5.87
1단계: 전력 파일만,랜덤포레스트,전체(2022~),258.59,5.26
1단계: 전력 파일만,XGBoost,전체(2022~),282.93,5.65
1단계: 전력 파일만,LightGBM,전체(2022~),257.68,5.03
1단계: 전력 파일만,랜덤포레스트(차이 예측),전체(2022~),186.54,3.84
1단계: 전력 파일만,XGBoost(차이 예측),전체(2022~),172.80,3.98
1단계: 전력 파일만,LightGBM(차이 예측),전체(2022~),149.48,3.57
2단계: + 기상,회귀트리,전체(2022~),297.56,6.78
2단계: + 기상,랜덤포레스트,전체(2022~),248.10,5.33
2단계: + 기상,XGBoost,전체(2022~),213.44,4.68
2단계: + 기상,LightGBM,전체(2022~),212.78,4.50
2단계: + 기상,랜덤포레스트(차이 예측),전체(2022~),137.95,3.18
2단계: + 기상,XGBoost(차이 예측),전체(2022~),110.26,2.58
2단계: + 기상,LightGBM(차이 예측),전체(2022~),113.54,2.58
