n_estimators,learning_rate,max_depth,RMSE,MAPE
1000,0.1,3,99.74,2.43
1000,0.05,5,104.07,2.39
600,0.1,3,105.21,2.60
600,0.05,5,107.43,2.50
1000,0.05,3,109.57,2.68
1000,0.1,5,109.64,2.43
600,0.1,5,110.58,2.47
1000,0.05,7,111.21,2.52
300,0.1,5,111.82,2.54
600,0.05,7,111.99,2.55
1000,0.02,5,112.35,2.66
1000,0.02,7,113.40,2.57
300,0.05,7,114.24,2.61
600,0.02,7,115.03,2.63
300,0.05,5,115.23,2.75
1000,0.1,7,116.66,2.56
600,0.1,7,116.75,2.56
300,0.1,3,116.79,2.92
600,0.02,5,116.80,2.79
600,0.05,3,117.04,2.92
300,0.1,7,117.20,2.58
300,0.02,7,117.61,2.71
300,0.02,5,118.00,2.84
1000,0.02,3,119.91,3.03
300,0.05,3,121.94,3.06
600,0.02,3,122.10,3.10
300,0.02,3,122.26,3.19
