단계,모델,RMSE,MAPE
기준선,전날 그대로,96.19,2.36
기준선,지난주 같은 요일,248.91,5.69
기준선,지난 7일 같은 시각 평균,329.41,7.57
기준선,선형회귀 (1단계),137.88,2.87
기준선,선형회귀 (2단계),77.56,2.05
1단계: 전력 파일만,회귀트리,188.39,4.20
1단계: 전력 파일만,랜덤포레스트,118.41,3.11
1단계: 전력 파일만,XGBoost,149.50,3.09
1단계: 전력 파일만,LightGBM,166.05,3.32
1단계: 전력 파일만,랜덤포레스트(차이 예측),206.40,4.88
1단계: 전력 파일만,XGBoost(차이 예측),142.92,3.15
1단계: 전력 파일만,LightGBM(차이 예측),121.95,2.95
1단계: 전력 파일만,XGBoost(차이 예측) (튜닝),120.14,2.69
2단계: + 기상,회귀트리,176.87,3.78
2단계: + 기상,랜덤포레스트,132.55,2.23
2단계: + 기상,XGBoost,170.78,2.90
2단계: + 기상,LightGBM,145.92,3.03
2단계: + 기상,랜덤포레스트(차이 예측),103.50,2.68
2단계: + 기상,XGBoost(차이 예측),109.68,2.23
2단계: + 기상,LightGBM(차이 예측),79.51,2.18
2단계: + 기상,XGBoost(차이 예측) (튜닝),93.46,1.77
