day,hour,y,yhat,특징
2024-08-01,1,2452,2449.8,1단계: 전력 파일만
2024-08-01,2,2197,2207.4,1단계: 전력 파일만
2024-08-01,3,2047,2058.9,1단계: 전력 파일만
2024-08-01,4,1955,1960.8,1단계: 전력 파일만
2024-08-01,5,1943,1946.3,1단계: 전력 파일만
2024-08-01,6,2048,2066.9,1단계: 전력 파일만
2024-08-01,7,2351,2342.6,1단계: 전력 파일만
2024-08-01,8,2776,2797.5,1단계: 전력 파일만
2024-08-01,9,3224,3276.2,1단계: 전력 파일만
2024-08-01,10,3591,3789.1,1단계: 전력 파일만
2024-08-01,11,3797,3909.4,1단계: 전력 파일만
2024-08-01,12,3894,4005.9,1단계: 전력 파일만
2024-08-01,13,3941,4052.3,1단계: 전력 파일만
2024-08-01,14,3996,4060.5,1단계: 전력 파일만
2024-08-01,15,4036,4052.5,1단계: 전력 파일만
2024-08-01,16,4032,4042.6,1단계: 전력 파일만
2024-08-01,17,4057,4008.4,1단계: 전력 파일만
2024-08-01,18,4050,3974.7,1단계: 전력 파일만
2024-08-01,19,3927,3801.6,1단계: 전력 파일만
2024-08-01,20,3839,3719.6,1단계: 전력 파일만
2024-08-01,21,3669,3594.2,1단계: 전력 파일만
2024-08-01,22,3402,3260.0,1단계: 전력 파일만
2024-08-01,23,3095,3024.6,1단계: 전력 파일만
2024-08-01,24,2802,2721.1,1단계: 전력 파일만
2024-08-02,1,2501,2525.7,1단계: 전력 파일만
2024-08-02,2,2241,2268.9,1단계: 전력 파일만
2024-08-02,3,2084,2077.1,1단계: 전력 파일만
2024-08-02,4,1991,1982.8,1단계: 전력 파일만
2024-08-02,5,1973,1975.5,1단계: 전력 파일만
2024-08-02,6,2090,2091.6,1단계: 전력 파일만
2024-08-02,7,2393,2391.5,1단계: 전력 파일만
2024-08-02,8,2825,2845.8,1단계: 전력 파일만
2024-08-02,9,3272,3305.8,1단계: 전력 파일만
2024-08-02,10,3617,3724.2,1단계: 전력 파일만
2024-08-02,11,3790,3914.0,1단계: 전력 파일만
2024-08-02,12,3883,4024.2,1단계: 전력 파일만
2024-08-02,13,3936,4083.4,1단계: 전력 파일만
2024-08-02,14,4014,4120.6,1단계: 전력 파일만
2024-08-02,15,4000,4111.3,1단계: 전력 파일만
2024-08-02,16,3999,4101.8,1단계: 전력 파일만
2024-08-02,17,4031,4057.1,1단계: 전력 파일만
2024-08-02,18,4011,4024.4,1단계: 전력 파일만
2024-08-02,19,3860,3913.8,1단계: 전력 파일만
2024-08-02,20,3770,3823.4,1단계: 전력 파일만
2024-08-02,21,3609,3608.8,1단계: 전력 파일만
2024-08-02,22,3351,3377.4,1단계: 전력 파일만
2024-08-02,23,3067,3144.3,1단계: 전력 파일만
2024-08-02,24,2815,2816.4,1단계: 전력 파일만
2024-08-03,1,2528,2285.4,1단계: 전력 파일만
2024-08-03,2,2256,2176.1,1단계: 전력 파일만
2024-08-03,3,2086,2030.1,1단계: 전력 파일만
2024-08-03,4,1980,1995.8,1단계: 전력 파일만
2024-08-03,5,1940,1964.4,1단계: 전력 파일만
2024-08-03,6,1978,1996.0,1단계: 전력 파일만
2024-08-03,7,2114,2084.0,1단계: 전력 파일만
2024-08-03,8,2348,2335.7,1단계: 전력 파일만
2024-08-03,9,2654,2672.6,1단계: 전력 파일만
2024-08-03,10,3023,3055.4,1단계: 전력 파일만
2024-08-03,11,3324,3228.7,1단계: 전력 파일만
2024-08-03,12,3478,3324.4,1단계: 전력 파일만
2024-08-03,13,3564,3400.2,1단계: 전력 파일만
2024-08-03,14,3603,3443.9,1단계: 전력 파일만
2024-08-03,15,3600,3445.8,1단계: 전력 파일만
2024-08-03,16,3588,3436.4,1단계: 전력 파일만
2024-08-03,17,3597,3461.5,1단계: 전력 파일만
2024-08-03,18,3610,3475.4,1단계: 전력 파일만
2024-08-03,19,3583,3477.6,1단계: 전력 파일만
2024-08-03,20,3544,3456.8,1단계: 전력 파일만
2024-08-03,21,3437,3277.9,1단계: 전력 파일만
2024-08-03,22,3225,3134.3,1단계: 전력 파일만
2024-08-03,23,2974,2890.1,1단계: 전력 파일만
2024-08-03,24,2735,2675.8,1단계: 전력 파일만
2024-08-04,1,2450,2354.6,1단계: 전력 파일만
