day,요일,공휴일,기준선 RMSE,1단계 RMSE,2단계 RMSE,기준선 MAPE,1단계 MAPE,2단계 MAPE
08-01,목,0,49.58,81.78,68.41,1.64,1.77,1.70
08-02,금,0,39.96,70.49,44.55,1.22,1.41,1.34
08-03,토,0,329.75,112.35,58.94,8.69,3.03,1.66
08-04,일,0,74.70,162.74,133.48,2.09,4.48,4.36
08-05,월,0,487.34,89.35,68.49,10.39,1.95,1.65
08-06,화,0,149.36,214.77,95.99,3.27,5.01,2.15
08-07,수,0,83.28,114.12,57.93,2.15,2.63,1.26
08-08,목,0,105.35,226.36,61.60,2.30,5.93,1.42
08-09,금,0,92.65,157.87,71.72,2.46,3.59,2.02
08-10,토,0,388.83,155.56,86.46,10.27,5.16,2.38
08-11,일,0,126.57,217.31,86.49,2.95,5.46,2.72
08-12,월,0,669.39,393.21,119.68,14.39,9.11,3.25
08-13,화,0,91.07,112.26,103.49,2.50,2.31,2.80
08-14,수,0,96.19,120.14,93.46,2.36,2.69,1.77
08-15,목,1,615.98,178.26,300.51,15.63,4.66,8.22
08-16,금,0,486.63,137.35,149.86,11.11,3.84,4.45
08-17,토,0,439.55,172.32,136.50,11.67,4.49,4.11
08-18,일,0,137.56,136.00,107.20,3.99,3.84,3.21
08-19,월,0,639.59,136.65,132.34,13.55,4.02,3.76
08-20,화,0,163.83,219.53,78.08,4.00,4.61,1.97
08-21,수,0,257.23,117.11,95.73,6.21,3.40,2.26
08-22,목,0,114.14,99.00,80.39,3.16,1.93,2.34
08-23,금,0,125.57,45.42,100.56,3.51,1.18,2.44
08-24,토,0,479.52,104.25,85.09,13.27,3.46,2.60
08-25,일,0,154.26,75.39,173.92,4.63,2.02,5.95
08-26,월,0,551.80,67.27,54.05,12.44,1.73,1.54
08-27,화,0,252.67,268.73,147.20,6.30,6.18,3.87
08-28,수,0,190.36,199.49,103.88,5.98,4.51,3.57
08-29,목,0,40.64,132.83,76.13,1.32,2.83,1.99
08-30,금,0,60.11,153.24,133.07,1.35,3.93,3.12
08-31,토,0,488.60,82.68,104.56,13.91,2.77,3.34
